GCF_001723285.1	NZ_LPWG01000010.1_363	Root; Likely_mmoX; Beijerinckiaceae_mmoX	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Methyloligellaceae;g__Methyloceanibacter;s__Methyloceanibacter methanicus
GCF_002752655.1	NZ_CP023737.1_2481	Root; Likely_mmoX; Methylocystaceae_mmoX; Methylocystis_Methylosinus_mmoX	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylosinus;s__Methylosinus trichosporium
GCF_002887815.1	NZ_PDHO01000056.1_10	Root; Homologous_mmoX	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium sp002887815
GCF_002887815.1	NZ_PDHO01000066.1_1	Root; Homologous_mmoX; Mycobacterium	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium sp002887815
GCF_002887815.1	NZ_PDHO01000068.1_5	Root; Homologous_mmoX	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium sp002887815
GCF_002891535.1	NZ_PDZR01000001.1_206	Root; Homologous_mmoX	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocella;s__Methylocella silvestris_A
GCF_002891535.1	NZ_PDZR01000026.1_24	Root; Likely_mmoX; Beijerinckiaceae_mmoX	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocella;s__Methylocella silvestris_A
GCF_002934365.1	NZ_PTIY01000022.1_23	Root; Likely_mmoX; Methylococcaceae_mmoX	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylobacter_A;s__Methylobacter_A tundripaludum_A
GCF_003113265.1	NZ_PUIV01000005.1_74	Root; Likely_mmoX; Methylocystaceae_mmoX; Methylocystis_Methylosinus_mmoX	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylosinus;s__Methylosinus sporium
GCF_003113265.1	NZ_PUIV01000031.1_37	Root; Likely_mmoX; Methylocystaceae_mmoX	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylosinus;s__Methylosinus sporium
GCF_003722355.1	NZ_QWDD01000001.1_930	Root; Likely_mmoX; Methylocystaceae_mmoX; Methylocystis_mmoX	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocystis;s__Methylocystis hirsuta
GCF_009936375.1	NZ_AP022332.1_1288	Root; Likely_mmoX; Methylocystaceae_mmoX; Methylocystis_Methylosinus_mmoX	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylosinus;s__Methylosinus sp009936375
GCF_011058845.1	NZ_JAAFZE010000001.1_371	Root; Likely_mmoX; Methylocystaceae_mmoX; Methylocystis_Methylosinus_mmoX	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocystis;s__Methylocystis sp011058845
GCF_012769535.1	NZ_CP046565.1_2386	Root; Likely_mmoX; Methylococcaceae_mmoX; Methylocaldum_methylococcus_mmoX	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae;g__Methylococcus;s__Methylococcus geothermalis
GCF_013350005.1	NZ_JABVWW010000009.1_72	Root; Likely_mmoX; Methylocystaceae_mmoX; Methylocystis_mmoX	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocystis;s__Methylocystis silviterrae
GCF_014850975.1	NZ_JACXST010000001.1_764	Root; Likely_mmoX; Methylococcaceae_mmoX; Methylomonas_mmoX	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylomonas;s__Methylomonas fluvii
GCF_016106025.1	NZ_JABWGZ010000014.1_44	Root; Likely_mmoX; Methylococcaceae_mmoX	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae;g__Methylococcus;s__Methylococcus sp016106025
GCF_016745395.1	NZ_JAERVJ010000004.1_220	Root; Likely_mmoX; Methylocystaceae_mmoX; Methylocystis_Methylosinus_mmoX	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocystis;s__Methylocystis iwaonis
GCF_019802345.1	NZ_JAINDZ010000019.1_47	Root; Likely_mmoX; Methylocystaceae_mmoX; Methylocystis_Methylosinus_mmoX	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylosinus;s__Methylosinus sp019802345
GCF_024505055.1	NZ_JANIBL010000030.1_39	Root; Likely_mmoX; Methylococcaceae_mmoX; Methylomonas_mmoX	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylomonas;s__Methylomonas sp024505055
GCF_025583945.1	NZ_JAOEGU010000006.1_56	Root; Likely_mmoX; Methylococcaceae_mmoX; Methylovulum_mmoX	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylobacter_C;s__Methylobacter_C psychrophilus
GCF_025822865.1	NZ_JACKUR010000021.1_667	Root; Homologous_mmoX; Mycobacterium	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium paraffinicum
GCF_026427715.1	NZ_CP107558.1_1380	Root; Likely_mmoX; Methylocystaceae_mmoX; Methylocystis_Methylosinus_mmoX	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocystis;s__Methylocystis sp011058845
GCF_027925385.1	NZ_AP027142.1_1596	Root; Likely_mmoX; Methylocystaceae_mmoX; Methylocystis_Methylosinus_mmoX	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocystis;s__Methylocystis iwaonis
GCF_028687615.1	NZ_JAQTZU010000001.1_184	Root; Likely_mmoX; Methylococcaceae_mmoX; Methylovulum_mmoX	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylovulum;s__Methylovulum sp028687615
GCF_029991245.1	NZ_JAIVFO010000004.1_5	Root	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Xanthobacter;s__Xanthobacter autotrophicus_C
GCF_030015065.1	NZ_JAIVFN010000076.1_6	Root	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Xanthobacter;s__Xanthobacter autotrophicus_D
GCF_900163755.1	NZ_FUKI01000112.1_9	Root; Likely_mmoX; Methylococcaceae_mmoX; Methylovulum_mmoX	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Crenothrix;s__Crenothrix polyspora
GCF_901905185.1	NZ_CABFMQ020000077.1_47	Root; Likely_mmoX; Beijerinckiaceae_mmoX	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocella;s__Methylocella tundrae
GCF_901905185.1	NZ_CABFMQ020000091.1_24	Root; Likely_mmoX; Beijerinckiaceae_mmoX	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocella;s__Methylocella tundrae
GCF_901905185.1	NZ_CABFMQ020000092.1_35	Root	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocella;s__Methylocella tundrae
GCF_901905185.1	NZ_CABFMQ020000120.1_135	Root; Homologous_mmoX	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocella;s__Methylocella tundrae
GCF_903851415.1	NZ_CAINOE010000019.1_10	Root; Likely_mmoX	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Rhodopila;s__Rhodopila sp903851415
GCF_903851415.1	NZ_CAINOE010000196.1_23	Root; Homologous_mmoX	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Rhodopila;s__Rhodopila sp903851415
GCF_903915725.1	NZ_CAIWTY010000030.1_10	Root; Likely_mmoX	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Rhodopila;s__Rhodopila sp903915725
GCF_903915725.1	NZ_CAIWTY010000110.1_57	Root; Homologous_mmoX	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Rhodopila;s__Rhodopila sp903915725
MFD00082.bin.3.91	contig_26423_45	Root; Likely_mmoX; Methylococcaceae_mmoX	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylomonas;s__
MFD00082.bin.3.91	contig_26423_61	Root; Likely_mmoX; Methylococcaceae_mmoX	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylomonas;s__
MFD00905.bin.2.170	contig_24636_33	Root; Likely_mmoX	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodomicrobiaceae;g__;s__
MFD00905.bin.2.190	contig_35798_6	Root; Likely_mmoX; Methylocystaceae_mmoX; Methylocystis_mmoX	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Limisphaerales;f__JAKEEH01;g__JAKEEH01;s__
MFD01112.bin.2.35	contig_110891_10	Root; Likely_mmoX; Beijerinckiaceae_mmoX	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocella;s__
MFD01188.bin.2.38	contig_32502_38	Root; Likely_mmoX; Hyphomicrobiaceae_mmoX	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodomicrobiaceae;g__Rhodomicrobium;s__
MFD01299.bin.2.140	contig_17462_16	Root; Likely_mmoX; Hyphomicrobiaceae_mmoX	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodomicrobiaceae;g__Rhodomicrobium;s__
MFD01476.bin.3.18	contig_26573_134	Root; Likely_mmoX; Hyphomicrobiaceae_mmoX	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodomicrobiaceae;g__Rhodomicrobium;s__
MFD01689.bin.2.18	contig_25752_57	Root; Likely_mmoX; Beijerinckiaceae_mmoX	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocella;s__
MFD01689.bin.2.67	contig_21997_826	Root; Likely_mmoX	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Rhodopila;s__
MFD02248.bin.c.1	contig_13748_2501	Root; Likely_mmoX; Beijerinckiaceae_mmoX	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocella;s__
MFD02248.bin.c.1	contig_13748_2816	Root; Homologous_mmoX	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocella;s__
MFD02416.bin.2.4	contig_70190_86	Root; Likely_mmoX; Hyphomicrobiaceae_mmoX	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodomicrobiaceae;g__Rhodomicrobium;s__
MFD03323.bin.1.12	contig_24273_138	Root; Likely_mmoX; Hyphomicrobiaceae_mmoX	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodomicrobiaceae;g__Rhodomicrobium;s__
MFD04428.bin.2.10	contig_73526_143	Root; Likely_mmoX; Hyphomicrobiaceae_mmoX	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodomicrobiaceae;g__Rhodomicrobium;s__
