GCA_002299425.1	DBNW01000025.1_22	Root; pmoA_amoA_pxmA; Gammaproteobacteria_pmoA; Methylococcaceae_pmoA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylovulum;s__Methylovulum sp002299425
GCA_002299495.1	DBNZ01000057.1_22	Root; pmoA_amoA_pxmA; Gammaproteobacteria_pmoA; Methylococcaceae_pmoA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylovulum;s__Methylovulum sp002299495
GCA_002311285.1	DBZU01000013.1_5	Root; pmoA_amoA_pxmA; Gammaproteobacteria_pmoA; Methylococcaceae_pmoA	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__SAR202;f__UBA2962;g__UBA2962;s__UBA2962 sp002311285
GCA_002311315.1	DBZZ01000019.1_8	Root; pmoA_amoA_pxmA; Gammaproteobacteria_pmoA; Methylococcaceae_pmoA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__UBA1147;g__UBA1147;s__UBA1147 sp002311315
GCA_002380945.1	DFWO01000126.1_10	Root; pmoA_amoA_pxmA; pxmA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__UBA4132;s__UBA4132 sp002380945
GCA_002483425.1	DLHW01000009.1_8	Root; pmoA_amoA_pxmA; pxmA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methyloglobulus;s__Methyloglobulus sp002483425
GCA_002483425.1	DLHW01000032.1_3	Root; pmoA_amoA_pxmA; pxmA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methyloglobulus;s__Methyloglobulus sp002483425
GCA_002634395.1	NSJM01000092.1_1	Root; pmoA_amoA_pxmA; NC10	d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Methylomirabilales;f__Methylomirabilaceae;g__Methylomirabilis;s__Methylomirabilis sp002634395
GCA_002843155.1	PGZD01000011.1_13	Root; pmoA_amoA_pxmA; Gammaproteobacteria_pmoA; Methylococcaceae_pmoA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__PGZD01;s__PGZD01 sp002843155
GCA_002862095.1	PHSQ01000001.1_904	Root; pmoA_amoA_pxmA; Methylocystaceae_pmoA1	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocystis;s__Methylocystis sp002862095
GCA_002862095.1	PHSQ01000004.1_169	Root; pmoA_amoA_pxmA; Methylocystaceae_pmoA1	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocystis;s__Methylocystis sp002862095
GCA_002862125.1	PHSP01000003.1_64	Root; pmoA_amoA_pxmA; Gammaproteobacteria_pmoA; Methylococcaceae_pmoA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylobacter_C;s__Methylobacter_C sp002862125
GCA_002862125.1	PHSP01000004.1_4	Root; pmoA_amoA_pxmA; pxmA; Methylococcaceae_pxmA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylobacter_C;s__Methylobacter_C sp002862125
GCA_002890675.1	PEFW01000011.1_13	Root; pmoA_amoA_pxmA; pxmA; Alphaproteobacteria_pxmA	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocella;s__Methylocella sp002890675
GCA_002890675.1	PEFW01000151.1_3	Root; pmoA_amoA_pxmA; Beijerinckiaceae_pmoA; USCa	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocella;s__Methylocella sp002890675
GCA_002928495.1	PERF01000054.1_7	Root; pmoA_amoA_pxmA; Gammaproteobacteria_pmoA; Methylococcaceae_pmoA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__WM-3-3;s__WM-3-3 sp002928495
GCA_002928965.1	PERU01000010.1_38	Root; pmoA_amoA_pxmA; Gammaproteobacteria_pmoA; Methylococcaceae_pmoA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylomonas;s__Methylomonas sp002928965
GCA_002929135.1	PESC01000024.1_3	Root; pmoA_amoA_pxmA; Gammaproteobacteria_pmoA; Methylococcaceae_pmoA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylomonas;s__Methylomonas sp002929135
GCA_003104975.1	PQAM01000019.1_2	Root; pmoA_amoA_pxmA; NC10	d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Methylomirabilales;f__Methylomirabilaceae;g__Methylomirabilis;s__Methylomirabilis sp003104975
GCA_003105285.1	PQAN01000207.1_5	Root; pmoA_amoA_pxmA; Methylocystaceae_pmoA2	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylosinus;s__Methylosinus sp003105285
GCA_003105285.1	PQAN01000390.1_6	Root; pmoA_amoA_pxmA; Methylocystaceae_pmoA1	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylosinus;s__Methylosinus sp003105285
GCA_003134075.1	PLAI01000060.1_15	Root; pmoA_amoA_pxmA; Methylocystaceae_pmoA1	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocystis;s__Methylocystis sp003134075
GCA_003134075.1	PLAI01000213.1_15	Root; pmoA_amoA_pxmA; pxmA; Alphaproteobacteria_pxmA	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocystis;s__Methylocystis sp003134075
GCA_003134075.1	PLAI01000232.1_34	Root; pmoA_amoA_pxmA; Methylocystaceae_pmoA2	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocystis;s__Methylocystis sp003134075
GCA_003152255.1	PLZT01000283.1_13	Root; pmoA_amoA_pxmA; pxmA; Alphaproteobacteria_pxmA	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocystis;s__Methylocystis sp003152255
GCA_003152255.1	PLZT01000523.1_2	Root; pmoA_amoA_pxmA; Methylocystaceae_pmoA2	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocystis;s__Methylocystis sp003152255
GCA_003152255.1	PLZT01000621.1_6	Root; pmoA_amoA_pxmA; Methylocystaceae_pmoA1	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocystis;s__Methylocystis sp003152255
GCA_003153975.1	PMBZ01000109.1_11	Root; pmoA_amoA_pxmA; Hyphomicrobiaceae_pmoA	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodomicrobiaceae;g__Rhodomicrobium;s__Rhodomicrobium sp003153975
GCA_003155565.1	PMDM01000076.1_3	Root; pmoA_amoA_pxmA; pxmA; Methylococcaceae_pxmA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methyloglobulus;s__Methyloglobulus sp003155565
GCA_003158415.1	PMJA01000169.1_6	Root; pmoA_amoA_pxmA; Gammaproteobacteria_pmoA; Methylococcaceae_pmoA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylobacter_C;s__Methylobacter_C sp003158415
GCA_003162995.1	PLUZ01000365.1_5	Root; pmoA_amoA_pxmA; pxmA; Alphaproteobacteria_pxmA	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocella;s__Methylocella sp003162995
GCA_003162995.1	PLUZ01000456.1_12	Root; pmoA_amoA_pxmA; Beijerinckiaceae_pmoA; USCa	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocella;s__Methylocella sp003162995
GCA_003242955.1	QJPH01000100.1_2	Root; pmoA_amoA_pxmA; Gammaproteobacteria_pmoA; Methylococcaceae_pmoA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae;g__Methylumidiphilus;s__Methylumidiphilus alinenensis
GCA_003244015.1	QHBR01000036.1_2	Root; pmoA_amoA_pxmA; Beijerinckiaceae_pmoA; USCa	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocella;s__Methylocella sp003244015
GCA_003584865.1	QVQE01000114.1_14	Root; pmoA_amoA_pxmA; Gammaproteobacteria_pmoA; Methylococcaceae_pmoA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylobacter_C;s__Methylobacter_C sp003584865
GCA_003666325.1	QPIL01000117.1_56	Root; pmoA_amoA_pxmA; Gammaproteobacteria_pmoA; Methylococcaceae_pmoA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__QPIN01;s__QPIN01 sp003666325
GCA_003666385.1	QPIN01000058.1_48	Root; pmoA_amoA_pxmA; Gammaproteobacteria_pmoA; Methylococcaceae_pmoA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__QPIN01;s__QPIN01 sp003666385
GCA_003932755.1	CP024202.1_1389	Root; pmoA_amoA_pxmA; Gammaproteobacteria_pmoA; Methylococcaceae_pmoA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylotuvimicrobium;s__Methylotuvimicrobium sp003932755
GCA_003963405.1	RXIY01000034.1_2	Root; pmoA_amoA_pxmA; Methylocystaceae_pmoA1	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocystis;s__Methylocystis sp003963405
GCA_003963405.1	RXIY01000082.1_9	Root; pmoA_amoA_pxmA; Homologous_MO	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocystis;s__Methylocystis sp003963405
GCA_004168015.1	SEYW01000009.1_2	Root; pmoA_amoA_pxmA; Gammaproteobacteria_pmoA; Methylococcaceae_pmoA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae;g__Methylotetracoccus;s__Methylotetracoccus sp004168015
GCA_004299145.1	SCQD01000015.1_6	Root; pmoA_amoA_pxmA; Gammaproteobacteria_pmoA; Methylococcaceae_pmoA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae;g__Methylogaea;s__Methylogaea sp004299145
GCA_004299145.1	SCQD01000169.1_5	Root; pmoA_amoA_pxmA; pxmA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae;g__Methylogaea;s__Methylogaea sp004299145
GCA_004299305.1	SCPZ01000043.1_10	Root; pmoA_amoA_pxmA; Gammaproteobacteria_pmoA; Methylococcaceae_pmoA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylobacter_A;s__Methylobacter_A sp004299305
GCA_004299465.1	SCST01000184.1_12	Root; pmoA_amoA_pxmA; Gammaproteobacteria_pmoA; Methylococcaceae_pmoA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylovulum;s__Methylovulum sp004299465
GCA_004299465.1	SCST01000430.1_5	Root; pmoA_amoA_pxmA; pxmA; Methylococcaceae_pxmA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylovulum;s__Methylovulum sp004299465
GCA_004564215.1	CP024846.1_1933	Root; pmoA_amoA_pxmA; Beijerinckiaceae_pmoA; USCa	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocella;s__Methylocella sp004564215
GCA_005239965.1	SBAV01000119.1_1	Root; pmoA_amoA_pxmA; pxmA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Crenothrix;s__Crenothrix sp005239965
GCA_005772825.1	SXIP01000021.1_16	Root; pmoA_amoA_pxmA; Gammaproteobacteria_pmoA; Methylococcaceae_pmoA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__SXIP01;s__SXIP01 sp005772825
GCA_005772825.1	SXIP01000231.1_16	Root; pmoA_amoA_pxmA; pxmA; Methylococcaceae_pxmA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__SXIP01;s__SXIP01 sp005772825
GCA_005779525.1	SXIZ01000110.1_5	Root; pmoA_amoA_pxmA; pxmA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__SXIZ01;s__SXIZ01 sp005779525
GCA_005792805.1	SXQV01000051.1_14	Root; pmoA_amoA_pxmA; Gammaproteobacteria_pmoA; Methylococcaceae_pmoA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae;g__UBA6136;s__UBA6136 sp005792805
GCA_006844585.1	SPJM01000341.1_27	Root; pmoA_amoA_pxmA; Gammaproteobacteria_pmoA; Methylococcaceae_pmoA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylomarinum;s__Methylomarinum sp006844585
GCA_006844705.1	SPJS01000055.1_1	Root; pmoA_amoA_pxmA; pxmA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylomarinum;s__Methylomarinum sp006844705
GCA_006844705.1	SPJS01000141.1_3	Root; pmoA_amoA_pxmA; pxmA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylomarinum;s__Methylomarinum sp006844705
GCA_006844705.1	SPJS01000279.1_3	Root; pmoA_amoA_pxmA; pxmA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylomarinum;s__Methylomarinum sp006844705
GCA_007280895.1	QYQN01000055.1_22	Root; pmoA_amoA_pxmA; Gammaproteobacteria_pmoA; Methylococcaceae_pmoA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylovulum;s__Methylovulum sp007280895
GCA_009695535.1	SHZQ01000018.1_12	Root; pmoA_amoA_pxmA; Gammaproteobacteria_pmoA; Methylococcaceae_pmoA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methyloglobulus;s__Methyloglobulus sp009695535
GCA_009772935.1	WOUR01000095.1_2	Root; pmoA_amoA_pxmA; Methylocystaceae_pmoA1	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Reyranellales;f__Reyranellaceae;g__Reyranella;s__Reyranella sp009772935
GCA_009917815.1	RGER01000206.1_2	Root; pmoA_amoA_pxmA; Methylocystaceae_pmoA1	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Nanopelagicales;f__Nanopelagicaceae;g__GCA-2737595;s__GCA-2737595 sp009917815
GCA_009918865.1	RGCY01000184.1_1	Root; pmoA_amoA_pxmA; Methylocystaceae_pmoA1	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__S36-B12;f__UBA5976;g__RFTO01;s__RFTO01 sp009918865
GCA_009925045.1	RFQK01000078.1_2	Root; pmoA_amoA_pxmA; Gammaproteobacteria_pmoA; Methylococcaceae_pmoA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylomonas;s__Methylomonas sp009925045
GCA_012960135.1	DUBW01000046.1_40	Root; pmoA_amoA_pxmA; Gammaproteobacteria_pmoA; Methylococcaceae_pmoA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methyloprofundus;s__Methyloprofundus sp012960135
GCA_012965425.1	DTSI01000112.1_8	Root; pmoA_amoA_pxmA; Gammaproteobacteria_pmoA; Methylococcaceae_pmoA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__OPU3-GD-OMZ;s__OPU3-GD-OMZ sp012965425
GCA_013140405.1	JABFSV010000039.1_2	Root; pmoA_amoA_pxmA; pxmA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methyloglobulus;s__Methyloglobulus sp013140405
GCA_013140405.1	JABFSV010000251.1_3	Root; pmoA_amoA_pxmA; Gammaproteobacteria_pmoA; Methylococcaceae_pmoA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methyloglobulus;s__Methyloglobulus sp013140405
GCA_013140465.1	JABFST010000082.1_6	Root; pmoA_amoA_pxmA; Gammaproteobacteria_pmoA; Methylococcaceae_pmoA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylobacter_C;s__Methylobacter_C sp013140465
GCA_013140705.1	JABFSH010000008.1_7	Root; pmoA_amoA_pxmA; pxmA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__JABFSH01;s__JABFSH01 sp013140705
GCA_013140705.1	JABFSH010000020.1_69	Root; pmoA_amoA_pxmA; Gammaproteobacteria_pmoA; Methylococcaceae_pmoA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__JABFSH01;s__JABFSH01 sp013140705
GCA_013140705.1	JABFSH010000039.1_4	Root; pmoA_amoA_pxmA; pxmA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__JABFSH01;s__JABFSH01 sp013140705
GCA_013141155.1	JABFRM010000011.1_19	Root; pmoA_amoA_pxmA; Gammaproteobacteria_pmoA; Methylococcaceae_pmoA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__SXIZ01;s__SXIZ01 sp013141155
GCA_013141155.1	JABFRM010000099.1_4	Root; pmoA_amoA_pxmA; pxmA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__SXIZ01;s__SXIZ01 sp013141155
GCA_013141375.1	JABFRC010000052.1_3	Root; pmoA_amoA_pxmA; Gammaproteobacteria_pmoA; Methylococcaceae_pmoA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__JABFRC01;s__JABFRC01 sp013141375
GCA_013141505.1	JABFQX010000023.1_55	Root; pmoA_amoA_pxmA; Gammaproteobacteria_pmoA; Methylococcaceae_pmoA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methyloglobulus;s__Methyloglobulus sp013141505
GCA_013141505.1	JABFQX010000073.1_28	Root; pmoA_amoA_pxmA; pxmA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methyloglobulus;s__Methyloglobulus sp013141505
GCA_013697045.1	JACCXJ010000108.1_1	Root; pmoA_amoA_pxmA; Gammaproteobacteria_pmoA; USCg	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__JACCXJ01;f__JACCXJ01;g__JACCXJ01;s__JACCXJ01 sp013697045
GCA_014191975.1	BJHG01000003.1_53	Root; pmoA_amoA_pxmA; Gammaproteobacteria_pmoA; Methylococcaceae_pmoA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__UBA10906;s__UBA10906 sp014191975
GCA_014859375.1	JACUUH010000074.1_2	Root; pmoA_amoA_pxmA; Gammaproteobacteria_pmoA; Methylococcaceae_pmoA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Nitrosococcales;f__Methylophagaceae;g__GCA-002733105;s__GCA-002733105 sp014859375
GCA_014859465.1	JACUUF010000034.1_6	Root; pmoA_amoA_pxmA; Gammaproteobacteria_pmoA; Methylococcaceae_pmoA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methyloprofundus;s__Methyloprofundus sp014859465
GCA_016177005.1	JACOWC010000148.1_19	Root; pmoA_amoA_pxmA; Methylocystaceae_pmoA2	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocystis;s__Methylocystis sp016177005
GCA_016178015.1	JACOUB010000019.1_17	Root; pmoA_amoA_pxmA	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylosinus;s__Methylosinus sp016178015
GCA_016178015.1	JACOUB010000048.1_9	Root; pmoA_amoA_pxmA; Methylocystaceae_pmoA2	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylosinus;s__Methylosinus sp016178015
GCA_016592635.1	AP023240.1_114	Root; pmoA_amoA_pxmA; Gammaproteobacteria_pmoA; Methylococcaceae_pmoA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methyloprofundus;s__Methyloprofundus sp016592635
