bin	fieldsample_barcode	Completeness_CheckM1	Contamination_CheckM1	Strain_Heterogeneity	Completeness_CheckM2	Contamination_CheckM2	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Contigs	Max_Contig_Length	N90	auN	N_per_100kb	cov	r_abund	CDS_all	CDS_hyp	bakta_tRNA_all	bakta_tRNA_uniq	bakta_16S	bakta_23S	bakta_5S	bac_16S	bac_23S	bac_5S	arc_16S	arc_23S	arc_5S	bac_trna	arc_trna	MAG_status	MAG_status2	drep_cluster	rep_status	ENA_ID	GTDB_taxonomy	GTDB_REF	GTDB_ANI	GTDB_AF	GTDB_MSA	GTDB_RED	SILVA_taxonomy	SILVA_identity	SILVA_length
MFD00082.bin.3.91	MFD00082	75.86	1.72	0	90.52	3.12	0.863	87220	301.7943709	4982032	47.36	84	274776	32737	107690.8	0	15.758154	0.22879419	4599	1351	40	17	1	1	1	1	1	1	1	1	1	19	18	HQ	HQ	1238_0	TRUE	GCA_963705975	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylomonas;s__	N/A	N/A	N/A	70.21	0.95247	HG529077.1.1269 Bacteria;Pseudomonadota;Gammaproteobacteria;Methylococcales;Methylomonadaceae;Methylomonas;uncultured bacterium	98.7	1269
MFD00125.bin.1.99	MFD00125	91.38	4.55	56.52	97.4	3.33	0.821	1158063	257.5969248	5117930	59.77	9	1543608	426539	1103540.3	0	372.46756	5.124778	5136	1762	64	21	1	1	1	1	1	1	1	2	1	21	21	HQ	HQ	10194_1	TRUE	GCA_963699005	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocella;s__	GCA_030948025.1	90.58	0.503	93.17	0.98676	DQ823224.1.1465 Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;Incertae Sedis;uncultured bacterium	99.2	1465
MFD00125.bin.2.93	MFD00125	69.79	7.37	72.22	61.79	6.79	0.815	48371	243.4736698	3266144	60.34	100	252191	15671	78713.3	0	26.76747	0.36829337	3442	1261	38	14	0	0	0	0	0	0	0	0	0	14	12	MQ	MQ	10189_1	TRUE	GCA_963699035	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocella;s__	GCA_030948025.1	89.43	0.397	58.53	0.98846	NA	NA	NA
MFD00709.bin.2.184	MFD00709	66.67	1.75	100	77.63	5.33	0.845	48794	228.8177821	3298012	46.13	93	117290	19098	52057.2	0	20.195736	0.15976681	3785	1149	17	12	1	0	0	1	0	0	1	0	0	12	12	MQ	MQ	1169_1	FALSE	NA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylobacter_C;s__Methylobacter_C sp002256465	GCA_002256465.1	96.46	0.69	58.85	N/A	AEGW02000009.207200.208714 Bacteria;Pseudomonadota;Gammaproteobacteria;Methylococcales;Methylomonadaceae;Methylobacter;Methylobacter tundripaludum SV96	99.2	491
MFD00731.bin.1.32	MFD00731	98.28	4.23	94.12	96.15	3.38	0.816	4788720	259.8065092	4788720	59.47	1	4788720	4788720	4788720	0	49.39672	0.22002119	4778	1473	56	21	1	1	1	1	1	1	1	2	1	22	22	HQ	HQ	10192_1	TRUE	GCA_963718655	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocella;s__	GCA_002890675.1	94.61	0.657	89.75	0.99487	DQ823224.1.1465 Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;Incertae Sedis;uncultured bacterium	99.5	1465
MFD00731.bin.2.22	MFD00731	63.38	3.34	62.5	59.39	3.44	0.805	482551	239.1705824	4487331	59.74	18	950519	115920	514435.9	0	17.599136	0.078389466	4709	1898	62	21	1	1	1	1	1	1	1	2	1	22	22	MQ	MQ	10194_1	FALSE	NA	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocella;s__	N/A	N/A	N/A	46.38	0.98561	DQ823224.1.1465 Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;Incertae Sedis;uncultured bacterium	99.2	1465
MFD00731.bin.3.174	MFD00731	58.62	2.59	100	54.6	4.66	0.82	95564	250.8452915	2035007	60.58	26	197701	44709	106890.4	0	32.81259	0.14615272	2130	763	20	9	0	0	0	0	0	0	0	0	0	9	9	MQ	MQ	10190_1	TRUE	GCA_963781235	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocella;s__	GCA_030948025.1	89.48	0.535	44.59	0.98948	NA	NA	NA
MFD00822.bin.2.112	MFD00822	84.47	1.09	28.57	75.68	1.8	0.814	324683	221.0139108	5118930	58.11	23	594806	132580	322369.8	0	16.771088	0.09738841	5866	2426	60	21	1	1	1	1	1	1	1	2	1	22	21	MQ	MQ	10197_1	FALSE	NA	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocella;s__	GCF_029855125.1	90.92	0.678	72.1	0.99544	HG528987.1.1249 Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;Methylocapsa;uncultured bacterium	99.1	1250
MFD00822.bin.2.123	MFD00822	62	3.7	71.43	68.33	2.36	0.787	50937	225.3980306	3896542	58.73	113	144873	16189	60441.3	0	10.485146	0.06088643	4271	2179	26	16	0	0	0	0	0	0	0	0	0	16	15	MQ	MQ	10399_0	TRUE	GCA_963773855	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodomicrobiaceae;g__Rhodomicrobium;s__	N/A	N/A	N/A	58.01	0.92762	NA	NA	NA
MFD00822.bin.2.84	MFD00822	89.96	3.6	57.14	85.81	4.27	0.825	278429	253.0718792	4782261	61.99	34	865226	71956	353288.2	0	16.791313	0.09750585	5039	2046	49	22	1	1	1	1	1	1	1	2	1	23	22	MQ	MQ	10721_0	TRUE	GCA_963773735	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodomicrobiaceae;g__R-RK-3;s__	N/A	N/A	N/A	76.19	0.9135	AB630711.1.1406 Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhodomicrobiaceae;Rhodomicrobium;uncultured bacterium	97.8	1406
MFD00905.bin.2.107	MFD00905	83.4	2.65	14.29	93.6	3.72	0.832	471792	218.9472263	3187262	47.75	11	956887	179417	513915.6	0	41.092373	0.23311144	3786	1193	42	21	2	2	2	2	2	2	2	2	2	22	22	HQ	HQ	1162_1	FALSE	NA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylobacter_A;s__	GCA_028714995.1	90.65	0.578	75.63	0.9642	AEGW02000009.207200.208714 Bacteria;Pseudomonadota;Gammaproteobacteria;Methylococcales;Methylomonadaceae;Methylobacter;Methylobacter tundripaludum SV96	99.5	1515
MFD00905.bin.2.170	MFD00905	83.87	1.45	0	74.29	0.64	0.807	225248	244.9879699	4816782	63.11	30	702132	104258	318005.8	0	18.325262	0.103956714	5055	2711	42	22	1	1	1	1	1	1	1	2	1	23	22	MQ	MQ	10873_0	TRUE	GCA_963827885	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodomicrobiaceae;g__;s__	N/A	N/A	N/A	63.95	0.82993	JQ770064.1.1474 Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhodomicrobiaceae;Rhodomicrobium;uncultured bacterium	95.3	1477
MFD00964.bin.2.136	MFD00964	95.9	8.32	75	95.79	7.06	0.807	223804	243.6288527	6304683	59.68	44	788670	71991	314842.5	0	40.28907	0.20524457	6581	2511	81	21	3	3	3	3	3	3	3	6	3	22	22	MQ	MQ	10194_1	FALSE	NA	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocella;s__	GCA_030948025.1	90.75	0.534	86.38	0.98716	DQ823224.1.1465 Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;Incertae Sedis;uncultured bacterium	99.5	1465
MFD00964.bin.2.23	MFD00964	86.99	5.02	63.64	86.34	3.54	0.797	150671	228.1723113	4310663	59.73	48	358754	43685	164375.6	0	12.919554	0.06581607	4700	1890	45	20	1	1	1	1	1	1	1	2	1	21	20	MQ	MQ	10192_1	FALSE	NA	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocella;s__Methylocella sp002890675	GCA_002890675.1	96.04	0.629	82.76	N/A	DQ823224.1.1465 Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;Incertae Sedis;uncultured bacterium	99.5	1333
MFD00991.bin.2.54	MFD00991	88.16	3.06	80	91.44	6.4	0.805	106952	244.0319149	3996963	58.54	51	271404	38703	115697.8	0	25.871292	0.26104486	4162	1357	30	16	0	0	0	0	0	0	0	0	0	16	14	MQ	MQ	10198_1	FALSE	NA	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocella;s__Methylocella sp003162995	GCA_003162995.1	96.91	0.628	86.2	N/A	NA	NA	NA
MFD01112.bin.2.35	MFD01112	65.09	3.21	60	63.5	3.43	0.804	16520	212.4356061	3322369	63.87	257	72993	6217	21385.7	0	11.171355	0.1946899	3835	1794	39	18	0	0	0	0	0	0	0	0	0	18	17	MQ	MQ	10763_1	FALSE	NA	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocella;s__	N/A	N/A	N/A	49.28	0.98171	NA	NA	NA
MFD01138.bin.2.21	MFD01138	63.1	4.3	76.19	56.83	5.39	0.805	72335	228.8174497	2520577	60.41	52	157635	22977	79391.6	0	14.985182	0.16177502	2789	1120	28	15	1	1	1	1	1	1	1	2	1	15	15	MQ	MQ	10190_1	FALSE	NA	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocella;s__	GCA_030948025.1	89.35	0.491	54.7	0.98813	DQ823224.1.1465 Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;Incertae Sedis;uncultured bacterium	99.5	1465
MFD01138.bin.3.248	MFD01138	80.6	2.35	63.64	74.48	1.51	0.815	180142	244.9535604	3473733	59.84	37	506503	48466	228451.8	0	18.11226	0.19553392	3665	1264	47	19	1	1	1	1	1	1	1	2	1	20	20	MQ	MQ	10194_3	TRUE	GCA_963712225	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocella;s__	GCA_030948025.1	89.99	0.459	68.1	0.98736	DQ823224.1.1465 Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;Incertae Sedis;uncultured bacterium	99.3	1465
MFD01188.bin.1.69	MFD01188	94.36	2.24	41.18	95.57	2.56	0.838	242707	281.8765695	4242987	63.29	44	574579	38963	253670.5	0	20.513733	0.32459092	4113	1095	50	21	2	2	2	2	2	2	2	4	2	22	22	HQ	HQ	10764_0	TRUE	GCA_963767805	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocella;s__	N/A	N/A	N/A	83.18	0.97185	Y17144.1.1393 Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;Methylocella;Methylocella palustris	100	670
MFD01188.bin.2.127	MFD01188	80.01	3.43	16.67	82.33	2.7	0.803	50315	241.798172	4813905	58.99	154	178632	14483	63611.1	0	8.460345	0.1338689	4972	2401	43	20	1	2	2	1	2	2	1	4	2	21	21	MQ	MQ	10397_0	TRUE	GCA_963723755	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodomicrobiaceae;g__Rhodomicrobium;s__	N/A	N/A	N/A	76.41	0.93364	JX505155.1.1403 Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhodomicrobiaceae;Rhodomicrobium;uncultured Hyphomicrobiaceae bacterium	99.4	1403
MFD01188.bin.2.25	MFD01188	64.36	1.25	60	53.91	1.5	0.803	62390	221.6125496	3521819	65.65	96	183868	16855	75062.4	0	6.798941	0.10758034	4032	1775	38	16	0	0	0	0	0	0	0	0	0	16	16	MQ	MQ	10732_0	TRUE	GCA_963782995	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylosinus;s__	GCF_015709455.1	89.97	0.681	52.59	0.99391	NA	NA	NA
MFD01188.bin.2.38	MFD01188	71.56	1.31	11.11	79.1	0.95	0.82	127414	278.9159851	4103790	60.92	54	464645	36183	161445.6	0	12.32631	0.19504046	3893	1677	42	19	1	1	1	1	1	1	1	2	1	20	19	MQ	MQ	10420_0	TRUE	GCA_963767435	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodomicrobiaceae;g__Rhodomicrobium;s__	N/A	N/A	N/A	76.33	0.96746	AB364708.1.1402 Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhodomicrobiaceae;Rhodomicrobium;uncultured bacterium	97.4	1402
MFD01188.bin.2.47	MFD01188	74.36	1.88	57.14	69.46	2.05	0.84	97030	285.1286307	2690061	63.5	37	242307	38179	110535.9	0	66.30318	1.049122	2586	661	40	16	1	1	1	1	1	1	1	2	1	17	17	MQ	MQ	10741_1	FALSE	NA	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocystis;s__	N/A	N/A	N/A	75.47	0.99487	AY080914.1.1449 Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;Methylocystis;uncultured bacterium	99.6	1449
MFD01188.bin.3.31	MFD01188	59.99	3.51	0	60.56	1.18	0.77	33795	211.3822636	4033361	60.09	152	128433	13128	47462.2	0	5.992589	0.09482135	4571	2728	30	16	0	2	1	0	2	1	0	3	1	16	15	MQ	MQ	10406_1	TRUE	GCA_963712405	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodomicrobiaceae;g__Rhodomicrobium;s__	N/A	N/A	N/A	42.4	0.9272	NA	NA	NA
MFD01188.bin.3.372	MFD01188	62.91	4.82	20.69	56.56	3.78	0.82	18361	196.3810376	3183743	47.36	236	100640	6392	22143.2	0	5.420231	0.08576488	3912	1827	22	15	1	1	1	1	1	1	1	1	1	16	15	MQ	MQ	12370_0	TRUE	GCA_963733275	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__SXIZ01;s__	N/A	N/A	N/A	40.6	0.95035	DQ984190.1.1352 Bacteria;Pseudomonadota;Gammaproteobacteria;Methylococcales;Methylomonadaceae;Crenothrix;Clonothrix fusca	93.5	1366
MFD01213.bin.2.13	MFD01213	77.63	3.99	55.17	74.65	5.73	0.811	157497	239.9399045	3139926	60.26	39	302996	43744	155857.6	0	15.335539	0.11361351	3329	1314	42	18	1	1	1	1	1	1	1	2	1	18	18	MQ	MQ	10190_2	TRUE	GCA_963784555	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocella;s__	GCA_030948025.1	89.97	0.486	61.69	0.98768	DQ823224.1.1465 Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;Incertae Sedis;uncultured bacterium	99.4	1465
MFD01223.bin.1.110	MFD01223	97.94	3.63	46.15	100	2.93	0.861	647830	300.8422062	4359192	59.79	19	1028378	134686	658011.4	0	37.257927	0.78348595	4141	1176	46	21	0	0	1	0	0	1	0	0	1	21	21	MQ	MQ	10411_0	TRUE	GCA_963834165	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodomicrobiaceae;g__Rhodomicrobium;s__	N/A	N/A	N/A	90.51	0.93302	NA	NA	NA
MFD01223.bin.1.111	MFD01223	93.25	1.88	33.33	92.04	3.31	0.842	230993	274.6335525	4006174	63.67	28	464317	65929	265380.1	0	11.124844	0.23394105	3972	1064	48	21	0	1	1	0	1	1	0	1	1	21	20	MQ	MQ	10727_0	TRUE	GCA_963808525	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocystis;s__	GCF_027925445.1	82.9	0.261	84.95	0.98973	NA	NA	NA
MFD01223.bin.1.113	MFD01223	94.83	1.61	20	99.87	0.54	0.852	391111	300.0938979	4009937	62.09	19	812033	91432	400181.9	0	48.189106	1.0133545	3757	1085	45	19	1	1	1	1	1	1	1	2	1	20	20	HQ	HQ	10409_0	TRUE	GCA_963748525	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodomicrobiaceae;g__Rhodomicrobium;s__	N/A	N/A	N/A	96.29	0.92886	AB364708.1.1402 Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhodomicrobiaceae;Rhodomicrobium;uncultured bacterium	99	1402
MFD01223.bin.1.133	MFD01223	95.54	0.81	0	99.2	0.41	0.829	1446160	297.653211	4687368	62.32	7	1762388	410311	1294324	0	84.82369	1.7837324	4278	1377	51	21	1	1	1	1	1	1	1	2	1	22	22	HQ	HQ	10407_1	TRUE	GCA_963808505	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodomicrobiaceae;g__Rhodomicrobium;s__	N/A	N/A	N/A	96.62	0.93104	AB364708.1.1402 Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhodomicrobiaceae;Rhodomicrobium;uncultured bacterium	99.1	1403
MFD01223.bin.1.34	MFD01223	94.12	2.46	0	91.62	2.53	0.82	321506	272.5853215	4909876	59.51	38	904617	58586	400476.5	0	12.365909	0.26003903	4760	1946	40	21	1	1	1	1	1	1	1	2	1	22	21	HQ	HQ	10412_0	TRUE	GCA_963766815	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodomicrobiaceae;g__Rhodomicrobium;s__	N/A	N/A	N/A	90.65	0.93324	JX505155.1.1403 Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhodomicrobiaceae;Rhodomicrobium;uncultured Hyphomicrobiaceae bacterium	99.4	1403
MFD01223.bin.1.35	MFD01223	95.04	1.81	33.33	98.21	0.53	0.834	286058	285.1741461	5145225	62.76	27	1470622	89883	596640.3	0	15.537105	0.32672518	4911	1818	52	21	0	0	0	0	0	0	0	0	0	21	21	MQ	MQ	10408_0	TRUE	GCA_963756335	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodomicrobiaceae;g__Rhodomicrobium;s__	N/A	N/A	N/A	90.49	0.93146	NA	NA	NA
MFD01223.bin.2.25	MFD01223	96.96	3.62	70.59	99.99	5.64	0.817	205385	283.2444529	5421523	59.39	51	509784	59116	235713.5	0	23.87487	0.5020576	5054	1881	52	20	2	2	2	2	2	2	2	4	2	21	21	MQ	MQ	10393_2	TRUE	GCA_963764115	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodomicrobiaceae;g__Rhodomicrobium;s__	N/A	N/A	N/A	92.12	0.93165	JF733443.1.1444 Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhodomicrobiaceae;Rhodomicrobium;uncultured Rhodomicrobium sp.	99.2	1444
MFD01223.bin.2.66	MFD01223	92.26	1.95	16.67	87.84	2.16	0.827	170777	247.0260773	4815381	60.32	60	463252	34938	196877.6	0	8.512065	0.1789977	5184	2403	53	21	1	1	1	1	1	1	1	2	1	22	22	MQ	MQ	10447_1	FALSE	NA	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodomicrobiaceae;g__Rhodomicrobium;s__	N/A	N/A	N/A	81.89	0.94146	JX505155.1.1403 Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhodomicrobiaceae;Rhodomicrobium;uncultured Hyphomicrobiaceae bacterium	99.4	1403
