bin	completeness_checkm1	contamination_checkm1	strain_heterogeneity_checkm1	completeness_checkm2	contamination_checkm2	contigs	longest_contig	genome_size	gc	contig_n50	contig_n90	aun	n_per_100kb	cov	r_abund	bakta_cds_all	bakta_cds_hyp	bakta_cds_dens	bakta_trna_all	bakta_trna_uniq	bakta_16s	bakta_23s	bakta_5s	barrnap_16s	barrnap_23s	barrnap_5s	custom_trna_uniq	bin_status	cbin_status	gunc_css	gunc_rrs	gunc_pass	var_n	var_perc	gtdb_tax	gtdb_ref	gtdb_ani	gtdb_af	gtdb_msa	gtdb_red	gtdb_warning	rrna_tax	rrna_tophit	rrna_alnlen	wf_name	wf_read_mode	wf_binning_mode	wf_v	wf_date	accession
MFD04830-1.bin.1.190	97.3	2.7	0	92.72	0.02	4	1526536	3819716	55.33	1023461	475319	1108664.6	0	8.087399	0.07124739	3341	900	89.7	47	21	1	1	1	1	1	1	21	HQ	N	0.02	0.53	True	9010	0.236	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Chthoniobacterales;f__UBA10450;g__JBDTZF01;s__	N/A	N/A	N/A	86.89	0.91716	N/A	G003217835 d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__Udaeobacter;s__Udaeobacter-sp003217835	96.6	944	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977887325.1
MFD04830-1.bin.1.1970	96.12	3.02	33.33	90.56	1.71	7	1444197	3071408	67.05	556341	216832	885400.1	0	9.608164	0.08464484	2886	817	92	51	21	1	1	0	1	1	0	21	MQ	N	0.02	0.47	True	11014	0.359	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__70-9;g__VRUE01;s__	GCA_035605695.1	87.47	0.38	88.07	0.98486	N/A	G005879655 d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__Ktedonobacteraceae;g__CF-154;s__CF-154-sp005879655	98.8	1533	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977877065.1
MFD04830-1.bin.1.20767	92.25	2.56	0	94.16	1.77	14	960354	4692941	53.62	659417	248590	542992.9	0	7.649285	0.067387745	4039	1188	87.5	62	22	1	1	2	1	1	3	21	HQ	N	0.03	0.48	True	8097	0.173	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__PSRF01;s__	N/A	N/A	N/A	87.57	0.95322	N/A	MJ010-1-barcode26-umi95863bins-ubs-8 d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__PSRF01;s__	99.5	1530	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977877515.1
MFD04830-1.bin.1.2335	87.69	1.4	0	91.42	0.54	12	3174674	4989740	73.17	3174674	390893	2174902.5	0	13.426299	0.11828139	4864	1183	90.1	40	20	1	1	1	1	1	1	20	HQ	N	0	0.59	True	57296	1.148	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__CADCTP01;g__CADCTP01;s__	GCA_036558285.1	90.66	0.553	88.07	0.97867	Genome not assigned to closest species as it falls outside its pre-defined ANI radius	RS-GCF-000685765.2-NZ-JDWE01000026.1 d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Frankiaceae;g__Frankia_370835;s__	95.3	1406	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977887895.1
MFD04830-1.bin.1.241	97.44	5.13	14.29	100	3.1	2	6664436	9902269	67.12	6664436	3237833	5544009.1	0	17.15826	0.15115876	7674	2820	93.1	57	22	1	1	1	1	1	1	22	HQ	N	0	0.51	True	33901	0.342	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Vicinamibacteraceae;g__;s__	N/A	N/A	N/A	92.93	0.78384	N/A	KP761690 d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Vicinamibacteraceae;g__Vicinamibacter;s__Vicinamibacter-silvestris	95.2	1515	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977887365.1
MFD04830-1.bin.1.267	97.05	2.96	75	95.46	3.72	3	2335200	4280034	64.6	2335200	735776	1742123.2	0	9.932836	0.08750509	3970	670	91.4	46	21	3	3	3	3	3	0	21	HQ	N	0	0.58	True	20977	0.49	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Casimicrobiaceae;g__PALSA-1003;s__	GCA_003153475.1	91.5	0.651	89.2	0.98659	Genome not assigned to closest species as it falls outside its pre-defined ANI radius	MJ034-1-barcode26-umi29091bins-ubs-3 d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Casimicrobiaceae;g__VBCG01;s__VBCG01-sp005881895	96.3	1504	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977876625.1
MFD04830-1.bin.1.27334	86.01	2	62.5	90.96	0.78	34	606256	5434775	38.3	198909	72639	251040.5	0	6.3089943	0.055580214	4646	2531	88.1	35	20	0	0	0	0	0	0	20	MQ	N	0.06	0.42	True	3958	0.073	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767-A;f__OLB10;g__;s__	N/A	N/A	N/A	77.22	0.90752	N/A	NA	NA	NA	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977874045.1
MFD04830-1.bin.1.27708	100	1.05	0	100	0.25	6	4355596	10205542	70.8	3897254	467519	3473783.3	0	13.148998	0.11583845	8854	905	88.6	68	21	7	7	6	7	7	6	22	HQ	N	0	0.85	True	39332	0.385	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__	GCF_040629205.1	92.05	0.576	94.34	0.99414	Genome not assigned to closest species as it falls outside its pre-defined ANI radius	RS-GCF-001650215.1-NZ-CP015726.1--2 d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales_400645;f__Streptomycetaceae_400641;g__Streptomyces_400150;s__Streptomyces-amphotericinicus	99.8	1523	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977876305.1
MFD04830-1.bin.1.27842	97.16	0.12	0	95.84	0.17	7	3356937	6424075	70.96	3356937	620279	2583358	0	15.501107	0.13655978	6159	746	91.9	52	21	2	2	2	2	2	2	22	HQ	N	0.02	0.67	True	36037	0.561	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Pseudonocardiaceae;g__Actinophytocola;s__	GCF_036555685.1	85.46	0.259	92.99	0.98688	N/A	KJ013500 d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Pseudonocardiaceae;g__Actinophytocola;s__Actinophytocola-sediminis	96.4	1518	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977875445.1
MFD04830-1.bin.1.29	96.53	6.1	7.69	94.81	3.84	6	2483656	6122092	56.24	1916624	580052	1825607.1	0	9.757568	0.08596105	5331	1807	88.4	67	22	1	1	1	1	2	1	21	HQ	N	0.07	0.37	True	3176	0.052	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__QHXM01;s__	N/A	N/A	N/A	89.36	0.95901	N/A	MJ034-2-barcode71-umi13645bins-ubs-9 d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__QHXM01;s__QHXM01-sp003222945	98.3	1533	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977887595.1
MFD04830-1.bin.1.31022	98.72	0.85	0	97.74	0.17	8	1615171	4750762	66.28	1390214	1328511	1335546.6	0	13.09102	0.11532767	4067	1631	90.8	46	22	1	1	1	1	1	1	21	HQ	N	0.02	0.28	True	20349	0.428	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5066;f__Gp7-AA6;g__JALYUA01;s__	N/A	N/A	N/A	94.06	0.94942	N/A	G003222385 d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5066;f__Gp7-AA6;g__Gp7-AA6;s__Gp7-AA6-sp003222385	96.3	915	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977887465.1
MFD04830-1.bin.1.31288	97.38	2.56	0	96.7	0.29	4	3698339	5306645	53.99	3698339	686676	2815711.7	0	9.88095	0.087048	4525	1305	86	54	22	1	1	1	1	1	2	21	HQ	N	0.01	0.47	True	18969	0.357	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__PSRF01;s__	N/A	N/A	N/A	94.94	0.94948	N/A	MJ034-1-barcode34-umi21262bins-ubs-9 d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__PSRF01;s__PSRF01-sp002427845	99.3	1529	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977873445.1
MFD04830-1.bin.1.347	61.11	0.93	0	92.66	0.19	6	298051	1027824	50.69	184188	101031	205436.3	0	6.21594	0.054760437	1087	530	87	39	20	0	1	1	0	1	1	20	MQ	N	0.07	0.28	True	686	0.067	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__UBA4665;g__;s__	N/A	N/A	N/A	68.96	0.88157	N/A	NA	NA	NA	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977873135.1
MFD04830-1.bin.1.35	63.93	0	0	95.82	0.18	1	681742	681742	41.81	681742	681742	681742	0	10.326958	0.090977184	725	205	92.9	41	21	1	1	1	1	1	0	19	HQ	N	0	0.63	True	1039	0.152	d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__UBA9973;f__UBA9973;g__UBA9973;s__	N/A	N/A	N/A	68.17	0.96847	N/A	GB-GCA-018062065.1-JAGOSX010000019.1 d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9973;f__UBA9973;g__UBA9973;s__UBA9973-sp000989515	89.3	1143	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977879635.1
MFD04830-1.bin.1.35384	77.59	0	0	93.07	1.89	10	1289108	3582664	61.02	978376	153904	824608.5	0	7.969858	0.070211895	3543	1185	88.1	38	20	0	1	1	0	2	1	20	MQ	N	0.03	0.29	True	28607	0.798	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Micropepsales;f__Micropepsaceae;g__Rhizomicrobium;s__	N/A	N/A	N/A	70.14	0.93654	N/A	NA	NA	NA	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977872695.1
MFD04830-1.bin.1.367	95.73	5.98	0	99.5	1.45	10	1711080	5203149	54.82	531034	309527	892634.2	0	12.056768	0.10621627	4445	1236	85.9	50	22	1	1	1	1	1	2	21	HQ	N	0.02	0.47	True	14604	0.281	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__PSRF01;s__	N/A	N/A	N/A	90.98	0.96466	N/A	MJ020-1-barcode31-umi50384bins-ubs-8 d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__PSRF01;s__PSRF01-sp002427845	99.6	1529	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977873845.1
MFD04830-1.bin.1.37760	84.48	2.71	77.78	90.55	1.6	22	944614	4662557	35.1	473680	91647	459628	0	8.471261	0.0746291	4156	1173	90.3	35	19	1	1	1	1	1	0	20	HQ	N	0.02	0.47	True	49086	1.053	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Parafilimonas;s__	GCA_025927795.1	87.45	0.279	83.2	0.98615	N/A	MJ033-1-barcode43-umi10971bins-ubs-26 d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Parafilimonas;s__	99.2	1496	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977875675.1
MFD04830-1.bin.1.378	98.69	2.78	50	100	2.85	4	2412842	6480294	64.11	2272356	666948	1960242.2	0	13.500741	0.11893719	6199	1552	89.6	54	22	2	2	2	2	4	2	22	HQ	N	0.03	0.53	True	53645	0.828	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Dongiales;f__Dongiaceae;g__JAUYVI01;s__	N/A	N/A	N/A	97.32	0.96585	N/A	G000620685 d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Dongiales;f__Dongiaceae;g__Dongia_A;s__	95.3	1492	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977875575.1
MFD04830-1.bin.1.37802	93.16	0.85	0	90.04	1.03	4	1707669	2558716	68.83	1707669	311783	1283766.6	0	9.707441	0.08551945	2531	578	92.7	48	22	1	1	1	1	1	1	21	HQ	N	0.04	0.47	True	27579	1.078	d__Bacteria;p__Actinomycetota;c__UBA4738;o__UBA4738;f__HRBIN12;g__JAJNBA01;s__	N/A	N/A	N/A	93.19	0.98392	Genome not assigned to closest species as it falls outside its pre-defined ANI radius	GB-GCA-005884925.1-VAYU01000030.1 d__Bacteria;p__Actinomycetota;c__UBA4738_401450;o__UBA4738;f__HRBIN12;g__AC-51;s__AC-51-sp005883885	95.6	1519	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977875085.1
MFD04830-1.bin.1.39105	81.25	3.28	4.35	90.67	3.26	41	231005	3418205	61.46	106788	44979	121369.3	0	5.325381	0.046914894	3140	830	90.1	39	20	1	1	1	1	1	1	20	HQ	N	0.12	0.55	True	7592	0.222	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Rudaea;s__	GCA_038244165.1	87.94	0.527	89.1	0.98597	Genome not assigned to closest species as it falls outside its pre-defined ANI radius	MJ034-1-barcode31-umi24596bins-ubs-5 d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Rudaea;s__	99.9	1508	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977887175.1
MFD04830-1.bin.1.4	93.41	3.3	0	95.9	0.36	2	3574683	4459048	68.54	3574683	884365	3041111	0	13.055381	0.11501372	4046	832	89.6	48	21	1	1	1	1	1	1	21	HQ	N	0.01	0.43	True	29126	0.653	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__JACDDX01;s__	N/A	N/A	N/A	91.32	0.96071	N/A	GB-GCA-016717475.1-JADKFK010000005.1 d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__JABFSM01;s__	94.4	1525	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977878185.1
MFD04830-1.bin.1.40164	90.85	4.7	37.5	91.13	3.79	11	3120736	5711198	72.23	3120736	239795	1956279.3	0	13.137501	0.11573717	5670	1471	94.9	48	21	1	1	1	1	1	1	20	HQ	N	0.03	0.48	True	70352	1.232	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__DASSUW01;s__	N/A	N/A	N/A	84.51	0.93251	N/A	RS-GCF-003344625.1-NZ-QPKJ02000001.1 d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Solirubrobacter;s__	96.7	1543	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977873045.1
MFD04830-1.bin.1.414	96.88	0.85	0	97.74	0.68	2	4607267	5608317	55.73	4607267	1001050	3963579.5	0	16.92548	0.14910805	4920	1014	87.2	49	22	1	1	1	1	1	1	22	HQ	N	0	0.53	True	33289	0.594	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__SbA1;g__JAIQFF01;s__	N/A	N/A	N/A	93.76	0.96205	N/A	MJ030-2-barcode74-umi58760bins-ubs-11 d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__SbA1;g__;s__	100	1485	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977875045.1
MFD04830-1.bin.1.44	96.58	1.76	0	95.39	0.92	2	4425498	5670003	58.06	4425498	1244505	3727304.1	0	25.239815	0.22235468	4582	1096	86.1	51	21	1	1	1	1	1	1	21	HQ	N	0	0.58	True	29336	0.517	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Acidiferrales;f__UBA7541;g__Acidiferrum;s__	GCA_036493835.1	83.28	0.212	93.76	0.98887	N/A	GB-GCA-003223195.1-QHYD01000153.1 d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Acidoferrales;f__UBA7541;g__Acidoferrum;s__	95.8	1526	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977873725.1
MFD04830-1.bin.1.457	98.29	1.99	0	100	0.25	3	4263499	5067630	55.37	4263499	595465	3665528.8	0	12.131159	0.10687161	4377	1367	86.9	51	22	1	1	1	1	1	1	21	HQ	N	0	0.49	True	20635	0.407	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__Gp1-AA117;g__Angelobacter;s__	GCA_036512375.1	87.32	0.228	94.96	0.98787	N/A	MJ033-1-barcode33-umi11561bins-ubs-24 d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__Gp1-AA117;g__Angelobacter;s__Angelobacter-sp003223515	99.9	1482	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977877025.1
MFD04830-1.bin.1.507	95.62	0.86	0	92.45	2.37	5	2603224	3923056	69.57	2603224	1108207	2044884.7	0	12.032619	0.106003515	3953	912	92.9	47	22	1	1	1	1	1	1	21	HQ	N	0.01	0.5	True	31977	0.815	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Thermoleophilaceae;g__JACVRW01;s__	N/A	N/A	N/A	88.96	0.95392	N/A	RS-GCF-003344625.1-NZ-QPKJ02000001.1 d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Solirubrobacter;s__	93.1	1542	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977873855.1
MFD04830-1.bin.1.525	93.58	1.65	16.67	95.44	0.87	5	3324697	7592555	71.21	2392425	1205973	2446690.9	0	14.778871	0.13019711	7017	963	91.6	47	22	3	3	3	3	3	3	22	HQ	N	0.05	0.53	True	63428	0.835	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Pseudonocardiaceae;g__Actinophytocola;s__	GCA_035995025.1	89.99	0.528	91.16	0.98783	Genome not assigned to closest species as it falls outside its pre-defined ANI radius	G001921215 d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Pseudonocardiaceae;g__Actinophytocola;s__Actinophytocola-xinjiangensis	99.5	1507	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977877845.1
